product_id,product_name,category,brand,price,discount,units_sold,total_revenue,region,store_id,store_name,date_sold,stock_left,customer_rating
1001,Wireless Mouse,Electronics,LogiTech,29.99,5%,250,7497.5,North,101,TechMart,2023-01-15,200,4.5
1002,Smart Watch,Electronics,Apple,199.99,10%,130,23398.7,West,102,BestTech,2023-01-22,50,4.8
1003,Coffee Maker,Appliances,Keurig,89.99,15%,180,13798.2,South,103,HomeCentral,2023-01-18,35,4.6
1004,Sneakers,Sports,Nike,59.99,20%,300,14397.6,East,104,ShoeCorner,2023-01-25,100,4.7
1005,Blender,Appliances,Ninja,49.99,5%,210,9978.95,North,105,ApplianceHub,2023-02-02,60,4.4
1006,4K Television,Electronics,Samsung,399.99,8%,75,27998.55,South,106,MediaMax,2023-02-10,15,4.9
1007,Fitness Tracker,Electronics,Fitbit,99.99,10%,140,12598.6,West,107,FitnessWorld,2023-02-15,30,4.5
1008,Espresso Machine,Appliances,De'Longhi,129.99,10%,95,11049.05,East,108,CoffeeSpot,2023-02-20,25,4.6
1009,Treadmill,Sports,ProForm,699.99,15%,25,14997.375,North,109,FitGear,2023-02-28,10,4.3
1010,Laptop,Electronics,Dell,599.99,5%,55,31398.725,West,110,ComputerStore,2023-03-05,20,4.7
1011,Vacuum Cleaner,Appliances,Dyson,299.99,10%,90,24298.35,South,111,HomeGoods,2023-03-10,40,4.8
1012,Electric Kettle,Appliances,Hamilton Beach,39.99,5%,120,4558.95,East,112,KitchenMart,2023-03-12,90,4.6
1013,Tablet,Electronics,Apple,329.99,8%,85,25898.335,North,113,TechPlus,2023-03-20,15,4.8
1014,Running Shoes,Sports,Adidas,49.99,15%,200,8498.3,West,114,ActiveWear,2023-03-22,80,4.4
1015,Smartphone,Electronics,Samsung,999.99,10%,75,67498.125,South,115,MobileHub,2023-03-28,20,4.9
1016,Air Fryer,Appliances,Philips,99.99,5%,110,10498.9,East,116,CookStore,2023-04-05,55,4.6
1017,Bluetooth Headphones,Electronics,Sony,79.99,20%,160,10238.8,North,117,SoundZone,2023-04-10,30,4.5
1018,Water Bottle,Sports,Nalgene,14.99,0%,300,4497,West,118,Outdoorsy,2023-04-12,500,4.8
1019,Hair Dryer,Appliances,Revlon,39.99,5%,130,4958.7,South,119,BeautyShop,2023-04-18,45,4.4
1020,Mirrorless Camera,Electronics,Canon,699.99,8%,60,38798.82,East,120,PhotoShop,2023-04-25,10,4.9
